run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
236,1,3,0.000264763269771,68.5120228907,0.183303538688,na,0.041049742439,del,1,sel,87127.7101938,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,28
236,1,3,0.000211866632799,na,na,0,0.013700223757,del,1,neu,87127.7101938,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,28
236,1,3,0.000166322815467,269.063160048,0.106777215634,na,0.0106055807726,ins,1,sel,87127.7101938,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,28
236,1,3,0.000134988423808,na,na,0,0,ins,1,neu,87127.7101938,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,28
414,1,3,0.000249796609018,144.522347003,0.159152028597,na,0.00395164804248,del,1,sel,87126.2384591,sel_ins_e,500,True,indel_continuous_1class,30,NA,19
414,1,3,0.000213745988213,na,na,0,0.0183851465064,del,1,neu,87126.2384591,sel_ins_e,500,True,indel_continuous_1class,30,NA,19
414,1,3,0.000152947926644,863.477764443,0.0401637324268,na,0,ins,1,sel,87126.2384591,sel_ins_e,500,True,indel_continuous_1class,30,NA,19
414,1,3,0.000137202577647,na,na,0,0.0117637133768,ins,1,neu,87126.2384591,sel_ins_e,500,True,indel_continuous_1class,30,NA,19
281,1,3,0.000212228651892,na,na,0,0.0153209756398,del,1,neu,87120.3443606,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,23
281,1,3,0.0001964655465,94.7143275643,0.0617858452261,na,0.0120410738392,del,1,sel,87120.3443606,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,23
281,1,3,0.000135655836651,na,na,0,0.00447572533046,ins,1,neu,87120.3443606,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,23
281,1,3,0.000133757484183,0.1,0.001,na,0,ins,1,sel,87120.3443606,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,23
9,1,3,0.000254867791646,192.254271887,0.12402836334,na,0.0468768140232,del,1,sel,87086.4044508,sel_ins_scale,500,True,indel_continuous_1class,30,NA,26
9,1,3,0.000218972659352,na,na,0,0.0451245742866,del,1,neu,87086.4044508,sel_ins_scale,500,True,indel_continuous_1class,30,NA,26
9,1,3,0.000146043596257,na,na,0,0.0740459361651,ins,1,neu,87086.4044508,sel_ins_scale,500,True,indel_continuous_1class,30,NA,26
9,1,3,0.000139693146953,5000,0.00164690527723,na,0.0699335729334,ins,1,sel,87086.4044508,sel_ins_scale,500,True,indel_continuous_1class,30,NA,26
223,1,3,0.000219055174459,na,na,0,0.045797267224,del,1,neu,87047.3327341,,500,True,indel_continuous_1class,30,NA,6
223,1,3,0.000194442474579,224.470933473,0.0596120694405,na,0.0653712312997,del,1,sel,87047.3327341,,500,True,indel_continuous_1class,30,NA,6
223,1,3,0.000148216483402,186.782474547,0.0544803678868,na,0.0462752672517,ins,1,sel,87047.3327341,,500,True,indel_continuous_1class,30,NA,6
223,1,3,0.000146134751296,na,na,0,0.0751820677066,ins,1,neu,87047.3327341,,500,True,indel_continuous_1class,30,NA,6
311,1,3,0.000212020638191,183.823380684,0.0941257099614,na,0.0156436080563,del,1,sel,87032.0151168,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,20
311,1,3,0.000211817066614,na,na,0,0.0137773210595,del,1,neu,87032.0151168,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,20
311,1,3,0.000152398382153,112.754290883,0.0660032747827,na,0.0348583494776,ins,1,sel,87032.0151168,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,20
311,1,3,0.000134929815201,na,na,0,0,ins,1,neu,87032.0151168,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,20
