run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha
35,1,3,0.000135323518332,na,na,0,0,ins,1,neu,119075.625862,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
331,1,3,0.00025472244664,128.435814822,0.111568145549,na,0.0265010462357,del,1,sel,115008.045133,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
331,1,3,0.000212625232775,na,na,0,0.0132812459865,del,1,neu,115008.045133,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
331,1,3,0.000156693403442,23.3521166989,0.0831868103761,na,0.00588366779292,ins,1,sel,115008.045133,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
331,1,3,0.000135619424785,na,na,0,0,ins,1,neu,115008.045133,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
354,1,3,0.00025084405847,117.412845709,0.104402902113,na,0.00599034287644,del,1,sel,112741.070403,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
354,1,3,0.000211406165749,na,na,0,0.0135013855553,del,1,neu,112741.070403,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
354,1,3,0.000150093249689,7.00416629066,0.0362299588307,na,0.0168610331305,ins,1,sel,112741.070403,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
354,1,3,0.000134764609429,na,na,0,0,ins,1,neu,112741.070403,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000287400636159,206.770733972,0.12831818005,na,0.024833519729,del,1,sel,110835.950927,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000213081306382,na,na,0,0.0132105289754,del,1,neu,110835.950927,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000190621765962,117.501216933,0.0993049475965,na,0.0169803555381,ins,1,sel,110835.950927,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
47,1,3,0.000135934979148,na,na,0,0,ins,1,neu,110835.950927,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
54,1,3,0.000234785465359,18.4061730021,0.177060925487,na,0.0180596481652,del,1,sel,107453.240941,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
54,1,3,0.000212376251451,na,na,0,0.0134144161793,del,1,neu,107453.240941,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
54,1,3,0.000146683765925,139.667959702,0.00946544312744,na,0.0240495548048,ins,1,sel,107453.240941,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
54,1,3,0.000135413771766,na,na,0,0,ins,1,neu,107453.240941,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
237,1,3,0.000292131279042,100.764036272,0.171083279597,na,0.0135006846862,del,1,sel,106545.605363,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
237,1,3,0.000211917400288,na,na,0,0.0138793673097,del,1,neu,106545.605363,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
237,1,3,0.000168026400613,152.86306708,0.0460538591855,na,0.034922282698,ins,1,sel,106545.605363,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
237,1,3,0.000134957665788,na,na,0,0,ins,1,neu,106545.605363,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
467,1,3,0.000260642673049,539.895700706,0.0660041469375,na,0.0190911963534,del,1,sel,104541.892396,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
467,1,3,0.000212260710025,na,na,0,0.0133947206725,del,1,neu,104541.892396,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
467,1,3,0.000158318884242,103.140559491,0.0374313539098,na,0.00755832390421,ins,1,sel,104541.892396,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
467,1,3,0.00013534710526,na,na,0,0,ins,1,neu,104541.892396,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
359,1,3,0.000257821855982,86.8825077754,0.126623515505,na,0.0260565150449,del,1,sel,102558.275883,,500,True,indel_continuous_1class,30,NA
359,1,3,0.000212164039254,na,na,0,0.0133579932911,del,1,neu,102558.275883,,500,True,indel_continuous_1class,30,NA
359,1,3,0.000165858096181,646.547131729,0.0362213534852,na,0.00926913482183,ins,1,sel,102558.275883,,500,True,indel_continuous_1class,30,NA
359,1,3,0.000135298152488,na,na,0,2.22044604925e-18,ins,1,neu,102558.275883,,500,True,indel_continuous_1class,30,NA
477,1,3,0.000236224224149,15.8372397039,0.201494111499,na,0.00969241647368,del,1,sel,101006.612262,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
477,1,3,0.000212095957779,na,na,0,0.0136900897957,del,1,neu,101006.612262,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
477,1,3,0.000176139296493,220.719911278,0.0614768588367,na,0.0256197165063,ins,1,sel,101006.612262,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
477,1,3,0.000135138322602,na,na,0,0,ins,1,neu,101006.612262,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
18,1,3,0.00025445141842,121.366533501,0.118102107653,na,0.0280535670813,del,1,sel,99250.0802284,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
18,1,3,0.000213168426996,na,na,0,0.0133060850203,del,1,neu,99250.0802284,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
18,1,3,0.000191698021167,227.676952205,0.0939005354948,na,0.00964453040539,ins,1,sel,99250.0802284,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
18,1,3,0.000135957336428,na,na,0,0,ins,1,neu,99250.0802284,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
448,1,3,0.000290071992792,147.602510718,0.151903640739,na,0.00848664764745,del,1,sel,98891.8757158,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
448,1,3,0.000212876408895,na,na,0,0.0131759191298,del,1,neu,98891.8757158,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
448,1,3,0.000170629281959,120.59565393,0.0365270044361,na,0.0283740173115,ins,1,sel,98891.8757158,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
448,1,3,0.000135817039959,na,na,0,0,ins,1,neu,98891.8757158,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
236,1,3,0.000283318517316,254.302702635,0.125152916078,na,0.0142020925299,del,1,sel,97545.9135034,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
236,1,3,0.000212449020494,na,na,0,0.0133756329448,del,1,neu,97545.9135034,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
236,1,3,0.000186719008087,119.898678297,0.0725525585836,na,0.0337750568108,ins,1,sel,97545.9135034,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
236,1,3,0.000135474072388,na,na,0,0,ins,1,neu,97545.9135034,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
419,1,3,0.000249212509284,73.0155520486,0.084810971716,na,0.017104285304,del,1,sel,96979.0301464,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
419,1,3,0.000212187526753,na,na,0,0.0131449139386,del,1,neu,96979.0301464,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
419,1,3,0.000161122392268,110.935849242,0.0466195985246,na,0.00674359268438,ins,1,sel,96979.0301464,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
419,1,3,0.000135388847312,na,na,0,0,ins,1,neu,96979.0301464,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
216,1,3,0.000277918908967,133.136513201,0.113814730842,na,0.011230454168,del,1,sel,96370.5060256,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
216,1,3,0.000211671945309,na,na,0,0.0135797805785,del,1,neu,96370.5060256,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
216,1,3,0.000166515885316,10.486107011,0.155416439555,na,0.0129661428997,ins,1,sel,96370.5060256,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
216,1,3,0.000134906607886,na,na,0,0,ins,1,neu,96370.5060256,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
493,1,3,0.0002618701614,212.360989664,0.0986729223805,na,0.00793939434656,del,1,sel,94831.2323338,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
493,1,3,0.000211133973699,na,na,0,0.0137686010489,del,1,neu,94831.2323338,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
493,1,3,0.000145185791402,0.1,0.001,na,0.00873402821702,ins,1,sel,94831.2323338,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
493,1,3,0.000134498052347,na,na,0,0,ins,1,neu,94831.2323338,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
109,1,3,0.000258693479243,114.491107315,0.0939966265603,na,0.00264891384116,del,1,sel,94655.1220629,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA
109,1,3,0.000213116753389,na,na,0,0.0176717056558,del,1,neu,94655.1220629,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA
109,1,3,0.000150994795642,0.1,0.00101212180702,na,0,ins,1,sel,94655.1220629,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA
109,1,3,0.000136562397248,na,na,0,0.00962350789635,ins,1,neu,94655.1220629,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA
418,1,3,0.000253021883897,351.411214907,0.0657794899288,na,0.0108880794184,del,1,sel,93801.0759815,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
418,1,3,0.000211509950614,na,na,0,0.0136540083818,del,1,neu,93801.0759815,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
418,1,3,0.000147025723742,0.1,0.001,na,0.00846498589718,ins,1,sel,93801.0759815,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
418,1,3,0.000134777929087,na,na,0,0,ins,1,neu,93801.0759815,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
493,1,3,0.000247356651753,16.5040235921,0.236824224475,na,0.0157950986418,del,1,sel,93423.1667381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
493,1,3,0.00021207255833,na,na,0,0.0138090333454,del,1,neu,93423.1667381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
493,1,3,0.00017907395435,117.779172288,0.0453892920584,na,0.0315392898121,ins,1,sel,93423.1667381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
493,1,3,0.000135080973677,na,na,0,0,ins,1,neu,93423.1667381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
120,1,3,0.000235415056474,68.0900393881,0.0636524345795,na,0.0178285895153,del,1,sel,92610.655649,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
120,1,3,0.000211520417302,na,na,0,0.0136520437208,del,1,neu,92610.655649,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
120,1,3,0.000151169645346,0.1,0.001,na,0.0259083706271,ins,1,sel,92610.655649,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
120,1,3,0.000134784795152,na,na,0,0,ins,1,neu,92610.655649,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
87,1,3,0.000275072258258,132.657586093,0.1085932744,na,0.0148232682063,del,1,sel,92440.6278188,sel_ins_e,500,True,indel_continuous_1class,30,NA
87,1,3,0.000213282043755,na,na,0,0.0167518117043,del,1,neu,92440.6278188,sel_ins_e,500,True,indel_continuous_1class,30,NA
87,1,3,0.000185199972529,121.866007252,0.0723455635005,na,0,ins,1,sel,92440.6278188,sel_ins_e,500,True,indel_continuous_1class,30,NA
87,1,3,0.000136557125258,na,na,0,0.00770864425856,ins,1,neu,92440.6278188,sel_ins_e,500,True,indel_continuous_1class,30,NA
359,1,3,0.000267742425773,221.723767535,0.107704072616,na,0.0231865087525,del,1,sel,91013.034675,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
359,1,3,0.000212263725932,na,na,0,0.0133880947795,del,1,neu,91013.034675,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
359,1,3,0.000146004337681,0.1,0.001,na,0.0187530192762,ins,1,sel,91013.034675,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
359,1,3,0.00013535123617,na,na,0,0,ins,1,neu,91013.034675,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
182,1,3,0.000263375127104,166.03418075,0.0979109595882,na,0.0154959777178,del,1,sel,90912.7654301,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
182,1,3,0.000211836968775,na,na,0,0.0137764787648,del,1,neu,90912.7654301,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
182,1,3,0.000160356394189,0.1,4.03239452064,na,0.0215059353017,ins,1,sel,90912.7654301,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
182,1,3,0.000134943783114,na,na,0,0,ins,1,neu,90912.7654301,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
361,1,3,0.000309236562828,121.86669305,0.145963451853,na,0.0282615265611,del,1,sel,90423.3615122,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
361,1,3,0.000211851491983,na,na,0,0.0138335222099,del,1,neu,90423.3615122,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
361,1,3,0.000157178420916,0.10228055958,0.00102921947109,na,0.0240155040766,ins,1,sel,90423.3615122,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
361,1,3,0.000134932066376,na,na,0,0,ins,1,neu,90423.3615122,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
274,1,3,0.000284865973205,30.3485217074,0.246821664555,na,0.0162258648512,del,1,sel,90294.562123,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
274,1,3,0.000211696341823,na,na,0,0.0135396282138,del,1,neu,90294.562123,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
274,1,3,0.00018891156288,237.186159808,0.0824982072404,na,0.0331316206419,ins,1,sel,90294.562123,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
274,1,3,0.000134936181471,na,na,0,0,ins,1,neu,90294.562123,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
122,1,3,0.00024338179163,151.68323312,0.0479515097992,na,0.0209556034384,del,1,sel,89135.6494729,sel_ins_e,500,True,indel_continuous_1class,30,NA
122,1,3,0.000212520169277,na,na,0,0.0156857020596,del,1,neu,89135.6494729,sel_ins_e,500,True,indel_continuous_1class,30,NA
122,1,3,0.000163303318439,12.6136439214,0.0517398211631,na,0,ins,1,sel,89135.6494729,sel_ins_e,500,True,indel_continuous_1class,30,NA
122,1,3,0.000135772225133,na,na,0,0.0047415910267,ins,1,neu,89135.6494729,sel_ins_e,500,True,indel_continuous_1class,30,NA
117,1,3,0.000307041634421,132.410057053,0.173757089768,na,0.0190679973652,del,1,sel,89095.6003171,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
117,1,3,0.000212902509543,na,na,0,0.01346399496,del,1,neu,89095.6003171,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
117,1,3,0.000156280827029,190.36370766,0.0129882695205,na,0.0374411379809,ins,1,sel,89095.6003171,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
117,1,3,0.000135731752727,na,na,0,0,ins,1,neu,89095.6003171,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
237,1,3,0.000266887644165,114.852671892,0.125063616554,na,0.00193463456555,del,1,sel,88538.7145024,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
237,1,3,0.000211613574268,na,na,0,0.0136600139122,del,1,neu,88538.7145024,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
237,1,3,0.000156234292302,0.1,2.50666791736,na,0.0237608799899,ins,1,sel,88538.7145024,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
237,1,3,0.000134840748063,na,na,0,0,ins,1,neu,88538.7145024,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
356,1,3,0.000240244256965,74.0717853486,0.0924720657593,na,0.0195402553374,del,1,sel,88254.9386381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
356,1,3,0.000211592042218,na,na,0,0.0136666917814,del,1,neu,88254.9386381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
356,1,3,0.000205123178297,203.192290005,0.102690745718,na,0.0235346585027,ins,1,sel,88254.9386381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
356,1,3,0.000134825543118,na,na,0,0,ins,1,neu,88254.9386381,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
478,1,3,0.000262292007856,101.28635088,0.0904637900469,na,0.0109194272037,del,1,sel,87994.3044861,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
478,1,3,0.000211302459114,na,na,0,0.0136353223686,del,1,neu,87994.3044861,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
478,1,3,0.00014382942881,0.1,0.001,na,0.0285906289423,ins,1,sel,87994.3044861,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
478,1,3,0.000134651707574,na,na,0,0,ins,1,neu,87994.3044861,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA
323,1,3,0.000288027744159,374.134942117,0.0901827403482,na,0.035786039764,del,1,sel,87709.6691848,sel_ins_e,500,True,indel_continuous_1class,30,NA
323,1,3,0.000212422102858,na,na,0,0.0169257119845,del,1,neu,87709.6691848,sel_ins_e,500,True,indel_continuous_1class,30,NA
323,1,3,0.00019707015596,144.175498106,0.121842834819,na,0,ins,1,sel,87709.6691848,sel_ins_e,500,True,indel_continuous_1class,30,NA
323,1,3,0.000135969008745,na,na,0,0.00782755352694,ins,1,neu,87709.6691848,sel_ins_e,500,True,indel_continuous_1class,30,NA
61,1,3,0.000283205277775,103.764468134,0.139449446246,na,0.0359485426491,del,1,sel,87457.5132929,neu_ins_e_1,500,True,indel_continuous_1class,30,NA
