run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
76,1,3,0.000146055404014,na,na,0,0.0747445102608,ins,1,neu,82115.6730241,r_19|sel_del_e,500,True,indel_continuous_1class,30,NA,30
334,1,3,0.000355220349828,5000,0.0275296818515,na,0.135767673776,del,1,sel,82109.7027281,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
334,1,3,0.00021883873462,na,na,0,0.0455762168814,del,1,neu,82109.7027281,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
334,1,3,0.000145976776025,na,na,0,0.0748002603498,ins,1,neu,82109.7027281,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
334,1,3,0.000103980249366,0.1,0.001,na,2.22044604925e-18,ins,1,sel,82109.7027281,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
260,1,3,0.00021885868839,na,na,0,0.0455524571694,del,1,neu,82107.3869731,r_19,500,True,indel_continuous_1class,30,NA,37
260,1,3,0.000145989786835,na,na,0,0.0747660865284,ins,1,neu,82107.3869731,r_19,500,True,indel_continuous_1class,30,NA,37
260,1,3,2.50312765959e-05,0.107405972217,0.00434743228696,na,2.22044604925e-18,ins,1,sel,82107.3869731,r_19,500,True,indel_continuous_1class,30,NA,37
260,1,3,5.45163184997e-10,610.422570558,0.0958055140309,na,0.106367089707,del,1,sel,82107.3869731,r_19,500,True,indel_continuous_1class,30,NA,37
435,1,3,0.000275130402748,5000,0.0527594899396,na,0.0476733640212,del,1,sel,82107.1472146,sel_del_scale|sel_ins_e|sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
435,1,3,0.000211640696436,na,na,0,0.013725496617,del,1,neu,82107.1472146,sel_del_scale|sel_ins_e|sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
435,1,3,0.000172740076288,0.105617428835,0.001,na,0,ins,1,sel,82107.1472146,sel_del_scale|sel_ins_e|sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
435,1,3,0.000134834815449,na,na,0,0,ins,1,neu,82107.1472146,sel_del_scale|sel_ins_e|sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
395,1,3,0.0097352442439,4625.40755919,64.0233713826,na,0.358850488875,del,1,sel,82106.774031,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
395,1,3,0.000273556812527,71.4373663128,0.524171349821,na,0,ins,1,sel,82106.774031,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
395,1,3,0.000211794165413,na,na,0,0.0137550455991,del,1,neu,82106.774031,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
395,1,3,0.000134923014758,na,na,0,0,ins,1,neu,82106.774031,sel_ins_e|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
435,1,3,0.000218668570187,na,na,0,0.0449904843588,del,1,neu,82105.4058898,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,40
435,1,3,0.000145745249788,na,na,0,0.0734957870141,ins,1,neu,82105.4058898,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,40
435,1,3,0.000134486997382,0.1,32.8367405155,na,2.22044604925e-18,del,1,sel,82105.4058898,sel_del_scale|sel_ins_shape,500,True,indel_continuous_1class,30,NA,40
