category	variation	seg_sites	theta_w	pi	tajD
bin13	DEL	4368	1231.20646443	1100.55789474	-0.445239114617
bin13	INDEL	14818	4176.74390796	3806.02105263	-0.372550891272
bin13	INS	3351	944.545069211	867.742105263	-0.341120920215
bin13	SNP	134449	37897.0874397	34170.1473684	-0.412836587367
bin14	DEL	3986	1123.53227272	1005.9	-0.439278026457
bin14	INDEL	13692	3859.35872505	3560.84736842	-0.324649313496
bin14	INS	3049	859.420446441	786.710526316	-0.354905533252
bin14	SNP	123727	34874.8814617	31523.1526316	-0.403447586002
bin15	DEL	3792	1068.84956802	964.178947368	-0.410860580971
bin15	INDEL	12790	3605.11233519	3338.07368421	-0.310898888768
bin15	INS	2838	799.945958347	743.752631579	-0.294662966728
bin15	SNP	114702	32331.0082151	29321.1789474	-0.390798591935
bin16	DEL	3529	994.717860115	879.747368421	-0.484901951802
bin16	INDEL	11871	3346.07416192	3052.43157895	-0.368333757593
bin16	INS	2714	764.994126481	686.584210526	-0.429931189533
bin16	SNP	106430	29999.3827861	27389.8526316	-0.365157082344
bin17	DEL	3267	920.868021818	819.221052632	-0.463065857661
bin17	INDEL	10936	3082.52607487	2823.06842105	-0.353273354008
bin17	INS	2399	676.205198758	633.031578947	-0.267780999493
bin17	SNP	98732	27829.5505143	25292.9421053	-0.38262757238
bin18	DEL	3158	890.14423413	776.363157895	-0.536222789106
bin18	INDEL	10434	2941.02752974	2672.12631579	-0.383743130841
bin18	INS	2309	650.836933694	599.715789474	-0.329422032061
bin18	SNP	93060	26230.786076	23834.7052632	-0.383458695954
bin19	DEL	2923	823.904875352	741.542105263	-0.419338882763
bin19	INDEL	9698	2733.57149544	2539.87894737	-0.297387323611
bin19	INS	2199	619.831276394	571.431578947	-0.32747090089
bin19	SNP	86973	24515.0457489	22214.8736842	-0.393872202331
bin20	DEL	2689	757.947386186	674.189473684	-0.463521169786
bin20	INDEL	9086	2561.067293	2343.12105263	-0.357159099319
bin20	INS	2051	578.114573844	530.136842105	-0.348015013653
bin20	SNP	81255	22903.3153085	20817.7421053	-0.382255749033
bin21	DEL	2576	726.09612005	646.763157895	-0.458275608208
bin21	INDEL	8533	2405.19339767	2213.04736842	-0.335280201857
bin21	INS	1903	536.397871295	492.610526316	-0.342292600828
bin21	SNP	76638	21601.9233107	19570.0789474	-0.394842822816
bin22	DEL	2308	650.555064082	579.821052632	-0.456003644197
bin22	INDEL	7845	2211.26710473	2033.54210526	-0.337305928805
