run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
188,1,3,0.000177234442301,na,na,0,0.0772870076047,ins,1,neu,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
188,1,3,0.000177234442301,0.1,0.001,na,0.0503616410712,ins,1,sel,87296.9483532,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
238,1,3,0.00026300370067,na,na,0,0.0438428519678,del,1,neu,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
238,1,3,0.00026300370067,8.99990421998,0.21925233926,na,0.0564766082513,del,1,sel,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
238,1,3,0.000172642020703,na,na,0,0.0754397423184,ins,1,neu,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
238,1,3,0.000172642020703,14.2675060755,0.100188166586,na,0.0768194089489,ins,1,sel,87216.7811318,r_19,500,True,indel_continuous_1class_equal_t,28,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
225,1,3,0.000268202381841,na,na,0,0.0450306146545,del,1,neu,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257,0.56225150559,1466108,914,0.000175722951654,0.000160137552874,-0.371434842791,1290,0.000248011605727,0.000227333004691,-0.349419052521
225,1,3,0.000268202381841,0.1,0.001,na,0.0538218836785,del,1,sel,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257,0.56225150559,1466108,914,0.000175722951654,0.000160137552874,-0.371434842791,1290,0.000248011605727,0.000227333004691,-0.349419052521
225,1,3,0.000176035452129,na,na,0,0.0774081524354,ins,1,neu,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257,0.56225150559,1466108,914,0.000175722951654,0.000160137552874,-0.371434842791,1290,0.000248011605727,0.000227333004691,-0.349419052521
225,1,3,0.000176035452129,0.1,0.001,na,0.0346478085426,ins,1,sel,87157.2791949,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,257,0.56225150559,1466108,914,0.000175722951654,0.000160137552874,-0.371434842791,1290,0.000248011605727,0.000227333004691,-0.349419052521
379,1,3,0.00026549478479,na,na,0,0.0439005491938,del,1,neu,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
379,1,3,0.00026549478479,0.1,0.001,na,0.0599589913817,del,1,sel,87124.063125,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
