run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
32,1,3,0.000241921442722,589.413221168,0.0502971580757,na,0.0161529666301,ins,1,sel,91032.4370147,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
32,1,3,0.000212137655748,na,na,0,0.0137082703117,del,1,neu,91032.4370147,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
32,1,3,0.000135160062751,na,na,0,0,ins,1,neu,91032.4370147,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,363,0.509971678036,1609079,1004,0.000175875199582,0.000159793927229,-0.383003314001,1358,0.00023788697314,0.000211837428675,-0.458948509412
157,1,3,0.000336548742809,7.02890273385,0.259542549833,na,0.0254929535509,del,1,sel,91032.2067974,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
157,1,3,0.000217596208265,110.203137305,0.0200296286893,na,0.0221957094409,ins,1,sel,91032.2067974,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
157,1,3,0.000211623952396,na,na,0,0.0136744064895,del,1,neu,91032.2067974,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
157,1,3,0.000134841698328,na,na,0,0,ins,1,neu,91032.2067974,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,222,0.883082714947,1550350,1010,0.00018362841161,0.000170195864092,-0.306415604924,1372,0.000249443743295,0.000223277256579,-0.439657479441
74,1,3,0.00036623640692,105.226038512,0.0737161522162,na,0.0158350891773,del,1,sel,90899.0663221,sel_ins_e,500,True,indel_continuous_1class,30,NA,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
74,1,3,0.000213451717914,na,na,0,0.0202851026714,del,1,neu,90899.0663221,sel_ins_e,500,True,indel_continuous_1class,30,NA,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
74,1,3,0.000213154850864,121.227288171,0.00568692264918,na,0,ins,1,sel,90899.0663221,sel_ins_e,500,True,indel_continuous_1class,30,NA,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
74,1,3,0.000137439537854,na,na,0,0.0165429870449,ins,1,neu,90899.0663221,sel_ins_e,500,True,indel_continuous_1class,30,NA,302,0.479682721717,1480279,975,0.000185656130719,0.000173299478644,-0.278772544549,1373,0.000261441915362,0.000237202794736,-0.388583016985
171,1,3,0.000317966539048,123.671067391,0.0153098670522,na,0.0368936099685,del,1,sel,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
171,1,3,0.000214535310572,na,na,0,0.023882617845,del,1,neu,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
171,1,3,0.000207805746545,95.3553464351,0.0195160513947,na,0,ins,1,sel,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
171,1,3,0.000138996989049,na,na,0,0.0257221556896,ins,1,neu,90665.2013172,sel_ins_e,500,True,indel_continuous_1class,30,NA,355,1.16059545318,1509971,964,0.000179952002916,0.000166845309577,-0.305058948659,1353,0.00025256748957,0.000234263822913,-0.30373339401
