run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window
459,1,3,0.000246661563165,76.6679817049,0.173536160742,na,0.0178703070308,ins,1,sel,90027.7538689,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,128
459,1,3,0.000211684316778,na,na,0,0.0136031174901,del,1,neu,90027.7538689,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,128
459,1,3,0.000134906265858,na,na,0,0,ins,1,neu,90027.7538689,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,128
377,1,3,0.000432717023386,170.980117035,0.234853214437,na,0.0179129538109,del,1,sel,89988.0737182,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,129
377,1,3,0.000212374659807,na,na,0,0.0137084764505,del,1,neu,89988.0737182,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,129
377,1,3,0.000176733420627,127.07791554,0.0445296974734,na,0.0383657017765,ins,1,sel,89988.0737182,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,129
377,1,3,0.000135309243967,na,na,0,0,ins,1,neu,89988.0737182,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,129
53,1,3,0.000445951988368,80.591192909,0.154102320367,na,0.0673739612409,del,1,sel,89981.7839856,r_19|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,366
53,1,3,0.000218516360516,na,na,0,0.045121184339,del,1,neu,89981.7839856,r_19|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,366
53,1,3,0.000210923868273,0.1,0.001,na,0.0702031762529,ins,1,sel,89981.7839856,r_19|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,366
53,1,3,0.000145743034448,na,na,0,0.0740536308018,ins,1,neu,89981.7839856,r_19|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,366
403,1,3,0.000397713763762,89.1758714935,0.119292538653,na,0.00160919513963,del,1,sel,89970.7696605,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,307
403,1,3,0.000257118906124,134.012137992,0.0677301181769,na,0.0247259388624,ins,1,sel,89970.7696605,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,307
403,1,3,0.000212252357599,na,na,0,0.0135978783474,del,1,neu,89970.7696605,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,307
403,1,3,0.000135270344376,na,na,0,0,ins,1,neu,89970.7696605,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,307
234,1,3,0.000349592815055,108.666352409,0.0775400451312,na,0.0211273105796,del,1,sel,89849.7786299,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,266
234,1,3,0.000212341973264,na,na,0,0.0134767756813,del,1,neu,89849.7786299,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,266
234,1,3,0.000205525848163,270.822365974,0.0257577855105,na,0.0204304953207,ins,1,sel,89849.7786299,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,266
234,1,3,0.000135369350099,na,na,0,0,ins,1,neu,89849.7786299,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,266
248,1,3,0.000403801382274,363.403826391,0.118682986258,na,0.00988788170165,del,1,sel,89844.8608342,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,312
248,1,3,0.000217213813988,0.1,0.001,na,0.0208304142217,ins,1,sel,89844.8608342,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,312
248,1,3,0.000211095922233,na,na,0,0.0138404333032,del,1,neu,89844.8608342,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,312
248,1,3,0.000134448744691,na,na,0,0,ins,1,neu,89844.8608342,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,312
317,1,3,0.000301892810682,0.119702794916,0.001,na,0.0307470443742,del,1,sel,89839.8420877,sel_del_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,95
317,1,3,0.000222881559674,0.1,0.799078963664,na,0.0165659446764,ins,1,sel,89839.8420877,sel_del_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,95
317,1,3,0.000213041527112,na,na,0,0.0217768539491,del,1,neu,89839.8420877,sel_del_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,95
317,1,3,0.00013732641959,na,na,0,0.0195070548038,ins,1,neu,89839.8420877,sel_del_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,95
120,1,3,0.000397617304334,145.679272549,0.200507221269,na,0.00571137844716,del,1,sel,89815.348461,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,223
120,1,3,0.000244646057945,172.668404275,0.0620142964648,na,0.0434402500225,ins,1,sel,89815.348461,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,223
120,1,3,0.000212281578175,na,na,0,0.0137291649533,del,1,neu,89815.348461,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,223
120,1,3,0.000135242954719,na,na,0,0,ins,1,neu,89815.348461,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,223
172,1,3,0.000363376875148,212.151392171,0.0881654989855,na,0.0101242178424,del,1,sel,89814.5069721,sel_ins_e|sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,315
172,1,3,0.000212689600282,na,na,0,0.0136612661741,del,1,neu,89814.5069721,sel_ins_e|sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,315
172,1,3,0.000199303299557,0.1,0.001,na,0,ins,1,sel,89814.5069721,sel_ins_e|sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,315
172,1,3,0.000135526475222,na,na,0,0,ins,1,neu,89814.5069721,sel_ins_e|sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,315
257,1,3,0.000340198648059,119.160192006,0.104952293057,na,0.02168530347,del,1,sel,89715.1334402,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,357
257,1,3,0.000211573394985,na,na,0,0.0136341157914,del,1,neu,89715.1334402,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,357
257,1,3,0.000211464485799,26.8197833946,0.0076576284098,na,0.056262417149,ins,1,sel,89715.1334402,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,357
257,1,3,0.000134830043708,na,na,0,0,ins,1,neu,89715.1334402,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,357
164,1,3,0.000320137157285,130.836675921,0.0494190083935,na,0.0192953295466,del,1,sel,89710.5528877,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,383
164,1,3,0.000211844839815,0.1,0.001,na,0.0368347114063,ins,1,sel,89710.5528877,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,383
164,1,3,0.000211302978577,na,na,0,0.0135911949047,del,1,neu,89710.5528877,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,383
164,1,3,0.000134667302062,na,na,0,0,ins,1,neu,89710.5528877,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,383
129,1,3,0.000341267532182,161.354049651,0.00456362119645,na,0.0293132365958,del,1,sel,89702.1186306,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,205
129,1,3,0.000236388530378,0.1,0.001,na,0,ins,1,sel,89702.1186306,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,205
129,1,3,0.000213140180984,na,na,0,0.0220945120043,del,1,neu,89702.1186306,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,205
129,1,3,0.000137473390171,na,na,0,0.0203511872847,ins,1,neu,89702.1186306,sel_ins_e|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,205
190,1,3,0.000274977683599,325.984306421,0.0279556976919,na,5.19979925187e-05,del,1,sel,89693.7357446,sel_ins_shape,500,True,indel_continuous_1class,30,NA,38
190,1,3,0.000212462449566,na,na,0,0.0197073063945,del,1,neu,89693.7357446,sel_ins_shape,500,True,indel_continuous_1class,30,NA,38
190,1,3,0.000197295471232,0.105470598488,0.001,na,0.0160980829277,ins,1,sel,89693.7357446,sel_ins_shape,500,True,indel_continuous_1class,30,NA,38
190,1,3,0.000136547007583,na,na,0,0.0145425464819,ins,1,neu,89693.7357446,sel_ins_shape,500,True,indel_continuous_1class,30,NA,38
463,1,3,0.000293426775311,101.857024437,0.0911257334671,na,0.020896907623,del,1,sel,89666.9800479,sel_ins_scale,500,True,indel_continuous_1class,30,NA,13
463,1,3,0.000211654978407,na,na,0,0.0136458369751,del,1,neu,89666.9800479,sel_ins_scale,500,True,indel_continuous_1class,30,NA,13
