run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window
39,1,3,0.000266197127749,na,na,0,0.0439122553499,del,1,neu,86961.6451729,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,353
39,1,3,0.000266197127749,0.1,2.04910931401,na,0.049415964954,del,1,sel,86961.6451729,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,353
39,1,3,0.000175482907865,na,na,0,0.076023750115,ins,1,neu,86961.6451729,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,353
39,1,3,0.000175482907865,0.1,0.001,na,0.0460880750216,ins,1,sel,86961.6451729,r_19|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,353
71,1,3,0.000267467259965,na,na,0,0.0440449363865,del,1,neu,86955.7588072,r_19|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,128
71,1,3,0.000267467259965,0.438064971456,2.52543204981,na,0.0463960554108,del,1,sel,86955.7588072,r_19|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,128
71,1,3,0.00017639682482,na,na,0,0.0763257399162,ins,1,neu,86955.7588072,r_19|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,128
71,1,3,0.00017639682482,0.1,1.66516879976,na,0.0531289796306,ins,1,sel,86955.7588072,r_19|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,128
499,1,3,0.000270852814038,na,na,0,0.0424054657868,del,1,neu,86936.9415901,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,260
499,1,3,0.000270852814038,0.1,0.001,na,0.0663977163035,del,1,sel,86936.9415901,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,260
499,1,3,0.000180508462905,na,na,0,0.0746861693085,ins,1,neu,86936.9415901,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,260
499,1,3,0.000180508462905,0.1,0.001,na,0.0615877698764,ins,1,sel,86936.9415901,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,260
31,1,3,0.000266566569788,na,na,0,0.0444654380652,del,1,neu,86924.4485919,r_19|sel_del_scale,500,True,indel_continuous_1class_equal_t,28,129
31,1,3,0.000266566569788,0.1,11.7551699737,na,0.0440976202756,del,1,sel,86924.4485919,r_19|sel_del_scale,500,True,indel_continuous_1class_equal_t,28,129
31,1,3,0.000173708342219,na,na,0,0.075689265793,ins,1,neu,86924.4485919,r_19|sel_del_scale,500,True,indel_continuous_1class_equal_t,28,129
31,1,3,0.000173708342219,71.5633402716,0.0155437649914,na,0.0777876455068,ins,1,sel,86924.4485919,r_19|sel_del_scale,500,True,indel_continuous_1class_equal_t,28,129
483,1,3,0.000271060088272,na,na,0,0.0444982497792,del,1,neu,86877.1509903,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,366
483,1,3,0.000271060088272,0.1,0.001,na,0.0705838014845,del,1,sel,86877.1509903,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,366
483,1,3,0.000176881660706,na,na,0,0.0759631866026,ins,1,neu,86877.1509903,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,366
483,1,3,0.000176881660706,0.1,0.001,na,0.0591104953197,ins,1,sel,86877.1509903,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,366
157,1,3,0.000270583557386,na,na,0,0.0437316896603,del,1,neu,86859.5629931,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,307
157,1,3,0.000270583557386,0.1,0.001,na,0.0316648822157,del,1,sel,86859.5629931,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,307
157,1,3,0.000179723065799,na,na,0,0.0764928815275,ins,1,neu,86859.5629931,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,307
