run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window
453,1,3,0.000184633754858,na,na,-1.42779216676,0.0554995544765,ins,1,sel,85076.448802,neu_ins_e_1,500,True,indel_discrete_1class,28,125
453,1,3,0.000267640150663,na,na,-1.70454403271,0.0444826487751,del,1,sel,85076.448802,neu_ins_e_1,500,True,indel_discrete_1class,28,125
382,1,3,0.000158151165722,na,na,0,0,ins,1,neu,85339.9111374,neu_ins_e_1,500,True,indel_discrete_1class,28,126
382,1,3,0.000252784193722,na,na,0,0.0129535158834,del,1,neu,85339.9111374,neu_ins_e_1,500,True,indel_discrete_1class,28,126
382,1,3,0.000193868850512,na,na,-0.893226367818,0.0319558776021,ins,1,sel,85339.9111374,neu_ins_e_1,500,True,indel_discrete_1class,28,126
382,1,3,0.000277223258223,na,na,-1.60602717862,0.0250995248577,del,1,sel,85339.9111374,neu_ins_e_1,500,True,indel_discrete_1class,28,126
62,1,3,0.000162766768702,na,na,0,0.0259608266885,ins,1,neu,85785.5382723,,500,True,indel_discrete_1class,28,127
62,1,3,0.000255991687885,na,na,0,0.0232707010067,del,1,neu,85785.5382723,,500,True,indel_discrete_1class,28,127
62,1,3,0.000175195788644,na,na,0.164096303448,0.024600030788,ins,1,sel,85785.5382723,,500,True,indel_discrete_1class,28,127
62,1,3,0.000246963108224,na,na,-0.511003580435,0.0135105580622,del,1,sel,85785.5382723,,500,True,indel_discrete_1class,28,127
383,1,3,0.000159550117816,na,na,0,2.22044604925e-18,ins,1,neu,86965.4379569,,500,True,indel_discrete_1class,28,128
383,1,3,0.000254942185656,na,na,0,0.0128349467506,del,1,neu,86965.4379569,,500,True,indel_discrete_1class,28,128
383,1,3,0.000203379417477,na,na,-1.24244181451,0.0313201022103,ins,1,sel,86965.4379569,,500,True,indel_discrete_1class,28,128
383,1,3,0.000295493384563,na,na,-1.78917308125,0.0337084318645,del,1,sel,86965.4379569,,500,True,indel_discrete_1class,28,128
170,1,3,0.000159778696893,na,na,0,0,ins,1,neu,86927.3989644,neu_ins_e_1,500,True,indel_discrete_1class,28,129
170,1,3,0.000255364959136,na,na,0,0.0129263638804,del,1,neu,86927.3989644,neu_ins_e_1,500,True,indel_discrete_1class,28,129
170,1,3,0.0001660494989,na,na,-0.223568301538,0.0515907577764,ins,1,sel,86927.3989644,neu_ins_e_1,500,True,indel_discrete_1class,28,129
170,1,3,0.000286942011315,na,na,-1.76975856085,0.0182802931371,del,1,sel,86927.3989644,neu_ins_e_1,500,True,indel_discrete_1class,28,129
291,1,3,0.00017112910524,na,na,0,0.0766414930574,ins,1,neu,85285.2963827,,500,True,indel_discrete_1class,28,12
